I Heard Her Call My Name,The Velvet Underground,276.68853,The Very Best Of The Velvet Underground,270.414,144.562,experimental rock,1968
Silent Movies (Album Version),Grant Geissman,349.23057,Rustic Technology,332.823,100.329,smooth jazz,1993
Il Y A Une Question (Live),Cali,328.14975,Le Bordel Magnifique,328.15,99.993,dance pop,2006
How Many More Years (LP Version),John Hammond,196.362,Sooner Or Later,189.138,105.36,blues-rock,2002
Just A Phase,Incubus,353.77587,Live in Malaysia 2004,349.797,107.922,funk metal,2001
Itchycoo Park,Small Faces,172.72118,Ultimate Collection,163.463,123.381,rock 'n roll,1967
Starlight,Snowgoons,232.75057,Black Snow,228.421,104.705,los angeles,2008
Bridge To Canada,Noisettes,205.06077,What's The Time Mr. Wolf,201.607,119.501,soundtrack,2006
Decide,Chelsea,301.71383,Live And Loud,295.439,86.727,pop rock,1979
Manteca,Poncho Sanchez,350.27546,Papa Gato,346.093,221.81,latin jazz,1987
Blank Eye Stare,Martriden,355.94404,Martriden,338.35,83.914,blackened death metal,2006
6TH Avenue Nightmare,Pennywise,159.89506,The Fuse,155.788,200.877,melodic hardcore,2005
La Ley De La Vida,Fito Paez,273.03138,Confia,265.41,124.989,rock 'n roll,2010
Echo,Joe Satriani,469.60281,Time Machine,459.169,100.171,instrumental rock,1987
The 4th Dimension (LP Version),Devo,264.33261,Shout,248.761,144.801,rock,1984
Iron Man,The Cardigans,259.76118,First Band On The Moon,253.806,137.342,twee pop,1996
Devil's Daughter,Eric Burdon,262.97424,Soldier Of Fortune,256.935,80.031,blues-rock,1988
When I Think Of You,Janet Jackson,235.41506,Control,228.635,116.195,dance pop,1986
The Shaskeen / Gan Ainm,Cherish The Ladies,134.81751,Cherish The Ladies: Irish Women Musicians in America,130.084,118.182,irish folk,1999
Adios_ Mi Corazon,Herb Alpert And The Tijuana Brass,163.94404,South Of The Border,153.681,97.52,smooth jazz,1964
The Ballad Of Sleeping Beauty,Sophie B. Hawkins,305.162,Whaler,283.527,105.003,ballad,1994
Consume (LP Version),Sick Of It All,223.7122,Scratch The Surface,206.466,101.143,hardcore punk,1994
All Creatures Of Our God And King,Patty Griffin,256.39138,Downtown Church,243.525,56.184,folk-pop,2010
So Hot,Helen Love,81.97179,Radio Hits,76.167,100.76,power pop,1994
Knight -> King 4,Pagan Wanderer Lu,346.25261,The Independent Scrutineer,321.596,134.909,indietronica,2006
Declaration (This Is It!),Kirk Franklin,264.85506,The Fight Of My Life,259.164,104.048,gospel,2007
Animal Crimes,Mad Are Sane_ The,228.8322,Who?What?Why?When?Where?,225.686,196.196,punk,1984
Rewind,All Girl Summer Fun Band,138.97098,Looking Into It,127.721,76.455,pop rock,2008
Fuego De Noche_ Nieve De Dia,Ricky Martin,336.19546,La Historia,329.578,141.71,latin,2001
Bumbling Along,Nino Nardini,33.20118,Luke Vibert's Nuggets,33.201,88.678,latin jazz,2001
What Would You Do?,City High,174.91546,Ultimate R&B,172.159,191.548,hip hop,2001
Talk About Me,Screamin' Jay Hawkins,150.56934,Screamin' Jay Hawkins,146.187,63.263,rock 'n roll,1995
School Spirit Skit 2,Kanye West,46.602,The College Dropout,44.478,201.792,hip hop,2003
So hell mit Klause Duo,Flowin Immo et Les Freaqz,225.59302,Immoment,217.763,83.321,hip hop,2009
All The Answers,Jesus Jones,227.73506,Never Enough - The Best Of Jesus Jones,215.435,110.47,dance rock,1989
Entonces,Fran Perea,173.08689,Punto y aparte,165.036,90.645,celtic,2005
iattelepa ite,Jope Ruonansuu,188.96934,Kaikkien aikojen parhaat -45 klassikkoa - iattelepa ite,181.174,180.068,parody,2004
